cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
80,192,1536,5120,torch.float8_e4m3fnuz,cktile,9,0,18.9229,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_32x64x512_1x4x1_16x16x64_default,159.59,498.72,0.0
256,1,800,5120,torch.float8_e4m3fn,ck,10,0,11.3133,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.72,362.65,0.0
256,1,1280,8192,torch.float8_e4m3fn,ck,10,0,12.9809,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.62,808.61,0.0
256,1,2304,16384,torch.float8_e4m3fn,ck,10,0,28.7056,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,2.63,1315.76,0.0
256,1,2560,8192,torch.float8_e4m3fn,ck,10,0,12.8571,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,3.26,1632.16,0.0
256,1,4608,16384,torch.float8_e4m3fn,ck,10,0,29.8957,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,5.05,2526.22,0.0
256,1,5120,640,torch.float8_e4m3fn,ck,23,0,5.7466,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2,1.14,572.11,0.0
256,1,5120,1280,torch.float8_e4m3fn,ck,108,0,6.8374,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.92,960.18,0.0
256,1,5120,3200,torch.float8_e4m3fn,ck,23,0,15.188,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2,2.16,1079.63,0.0
256,1,5120,5120,torch.float8_e4m3fn,ck,10,0,11.7201,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,4.47,2238.02,0.0
256,1,5120,6400,torch.float8_e4m3fn,ck,108,0,19.1846,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,3.42,1708.9,0.0
256,1,5120,25600,torch.float8_e4m3fn,ck,10,0,46.1466,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,5.68,2841.12,0.0
256,1,6400,5120,torch.float8_e4m3fn,ck,24,0,12.5759,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,5.21,2607.04,0.0
256,1,7168,8192,torch.float8_e4m3fn,ck,24,0,15.0501,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,7.8,3903.15,0.0
256,1,8192,1024,torch.float8_e4m3fn,ck,108,0,5.9704,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,2.81,1407.95,0.0
256,1,8192,2048,torch.float8_e4m3fn,ck,10,0,5.8009,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,5.78,2895.35,0.0
256,1,8192,3584,torch.float8_e4m3fn,ck,10,0,7.8125,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,7.52,3760.65,0.0
256,1,8192,7168,torch.float8_e4m3fn,ck,24,0,13.9797,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,8.4,4202.08,0.0
256,1,8192,8192,torch.float8_e4m3fn,ck,10,0,14.8978,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,9.01,4506.27,0.0
256,1,8192,28672,torch.float8_e4m3fn,ck,10,0,46.0411,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,10.2,5102.53,0.0
256,1,9216,16384,torch.float8_e4m3fn,ck,10,0,35.2763,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,8.56,4281.34,0.0
256,1,10240,8192,torch.float8_e4m3fn,ck,10,0,16.9524,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,9.9,4950.02,0.0
256,1,12800,5120,torch.float8_e4m3fn,ck,10,0,14.7141,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,8.91,4456.05,0.0
